stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
388_1,,桂徳大寺,,,,,,0,388,,
389,,上桂東ノ口,,,,,,1,,,
389_1,,上桂東ノ口,,,,,,0,389,,
390,,竹田内畑町,,,,,,1,,,
390_1,,竹田内畑町,,,,,,0,390,,
391,,烏丸札ノ辻,,,,,,1,,,
391_1,,烏丸札ノ辻,,,,,,0,391,,
392,,丸太町京阪前,,,,,,1,,,
392_1,,丸太町京阪前,,,,,,0,392,,
393,,川端二条,,,,,,1,,,
393_1,,川端二条,,,,,,0,393,,
394,,千本鞍馬口,,,,,,1,,,
394_1,,千本鞍馬口,,,,,,0,394,,
395,,乾隆校前,,,,,,1,,,
395_1,,乾隆校前,,,,,,0,395,,
396,,千本上立売,,,,,,1,,,
396_1,,千本上立売,,,,,,0,396,,
397,,今出川浄福寺,,,,,,1,,,
397_1,,今出川浄福寺,,,,,,0,397,,
398,,青少年科学センター前,,,,,,1,,,
398_1,,青少年科学センター前,,,,,,0,398,,
400,,智恵光院中立売,,,,,,1,,,
400_1,,智恵光院中立売,,,,,,0,400,,
401,,桂滝川町,,,,,,1,,,
401_1,,桂滝川町,,,,,,0,401,,
402,,下津林六反田,,,,,,1,,,
402_1,,下津林六反田,,,,,,0,402,,
403,,西大路御池,,,,,,1,,,
403_1,,西大路御池,,,,,,0,403,,
404,,太子道,,,,,,1,,,
404_1,,太子道,,,,,,0,404,,
405,,,,,,,,1,,,
405_1,,,,,,,,0,405,,
406,,,,,,,,1,,,
406_1,,,,,,,,0,406,,
407,,,,,,,,1,,,
407_1,,,,,,,,0,407,,
408,,,,,,,,1,,,
408_1,,,,,,,,0,408,,
409,,,,,,,,1,,,
409_1,,,,,,,,0,409,,
410,,,,,,,,1,,,
410_1,,,,,,,,0,410,,
411,,,,,,,,1,,,
411_1,,,,,,,,0,411,,
412,,,,,,,,1,,,
412_1,,,,,,,,0,412,,
413,,,,,,,,1,,,
413_1,,,,,,,,0,413,,
414,,,,,,,,1,,,
414_1,,,,,,,,0,414,,
415,,,,,,,,1,,,
415_1,,,,,,,,0,415,,
416,,,,,,,,1,,,
416_1,,,,,,,,0,416,,
417,,,,,,,,1,,,
417_1,,,,,,,,0,417,,
418,,,,,,,,1,,,
418_1,,,,,,,,0,418,,
419,,,,,,,,1,,,
419_1,,,,,,,,0,419,,
420,,,,,,,,1,,,
420_1,,,,,,,,0,420,,
421,,,,,,,,1,,,
421_1,,,,,,,,0,421,,
422,,,,,,,,1,,,
422_1,,,,,,,,0,422,,
423,,,,,,,,1,,,
423_1,,,,,,,,0,423,,
424,,,,,,,,1,,,
424_1,,,,,,,,0,424,,
425,,,,,,,,1,,,
425_1,,,,,,,,0,425,,
426,,,,,,,,1,,,
426_1,,,,,,,,0,426,,
427,,,,,,,,1,,,
427_1,,,,,,,,0,427,,
428,,,,,,,,1,,,
428_1,,,,,,,,0,428,,
429,,,,,,,,1,,,
429_1,,,,,,,,0,429,,
430,,,,,,,,1,,,
430_1,,,,,,,,0,430,,
431,,,,,,,,1,,,
431_1,,,,,,,,0,431,,
432,,,,,,,,1,,,
432_1,,,,,,,,0,432,,
433,,,,,,,,1,,,
433_1,,,,,,,,0,433,,
434,,,,,,,,1,,,
434_1,,,,,,,,0,434,,
435,,,,,,,,1,,,
435_1,,,,,,,,0,435,,
436,,,,,,,,1,,,
436_1,,,,,,,,0,436,,
437,,,,,,,,1,,,
437_1,,,,,,,,0,437,,
438,,,,,,,,1,,,
438_1,,,,,,,,0,438,,
439,,,,,,,,1,,,
439_1,,,,,,,,0,439,,
440,,,,,,,,1,,,
440_1,,,,,,,,0,440,,
441,,,,,,,,1,,,
441_1,,,,,,,,0,441,,
442,,,,,,,,1,,,
442_1,,,,,,,,0,442,,
443,,,,,,,,1,,,
443_1,,,,,,,,0,443,,
444,,,,,,,,1,,,
444_1,,,,,,,,0,444,,
445,,,,,,,,1,,,
445_1,,,,,,,,0,445,,
446,,,,,,,,1,,,
446_1,,,,,,,,0,446,,
447,,,,,,,,1,,,
447_1,,,,,,,,0,447,,
448,,,,,,,,1,,,
448_1,,,,,,,,0,448,,
449,,,,,,,,1,,,
449_1,,,,,,,,0,449,,
450,,,,,,,,1,,,
450_1,,,,,,,,0,450,,
451,,,,,,,,1,,,
451_1,,,,,,,,0,451,,
452,,,,,,,,1,,,
452_1,,,,,,,,0,452,,
453,,,,,,,,1,,,
453_1,,,,,,,,0,453,,
454,,,,,,,,1,,,
